journal_diameter_mm,ligament_mm,station_above_U_mm,support_span_mm,bearing_width_mm,max_Kt_checked,full_Kt_coverage,ROBUST_WITHIN_SCREEN,worst_MS_ultimate_strength,worst_strength_Kt,worst_strength_case,worst_MS_ultimate_bearing,ultimate_bearing_pressure_MPa
30.0,10.0,523.780356685791,180.0,20.0,3.0,True,True,0.13494131933426523,3.0,LC5,1.5982304103760274,159.2181493750707
30.0,10.0,523.780356685791,180.0,25.0,3.0,True,False,-0.025595431628346876,3.0,LC5,2.2477880129700343,127.37451950005658
30.0,10.0,523.780356685791,180.0,30.0,3.0,True,False,-0.1463444795019735,3.0,LC5,2.897345615564041,106.14543291671382
30.0,15.0,528.780356685791,120.0,20.0,3.0,True,False,-0.22110836706627646,3.0,LC5,0.7766513380425164,232.8455948176602
30.0,15.0,528.780356685791,120.0,25.0,3.0,True,False,-0.3316264838679933,3.0,LC5,1.2208141725531454,186.27647585412817
30.0,15.0,528.780356685791,120.0,30.0,3.0,True,False,-0.41467862304796443,3.0,LC5,1.6649770070637748,155.2303965451068
30.0,15.0,528.780356685791,150.0,20.0,3.0,True,False,-0.042351885038191095,3.0,LC5,1.1883823162685063,189.0370958103392
30.0,15.0,528.780356685791,150.0,25.0,3.0,True,False,-0.17802151044921966,3.0,LC5,1.7354778953356331,151.22967664827135
30.0,15.0,528.780356685791,150.0,30.0,3.0,True,False,-0.28002069115879835,3.0,LC5,2.28257347440276,126.02473054022612
30.0,15.0,528.780356685791,180.0,20.0,3.0,True,True,0.13063420257511704,3.0,LC5,1.588256043131354,159.83172866066678
30.0,15.0,528.780356685791,180.0,25.0,3.0,True,False,-0.029299359625618027,3.0,LC5,2.2353200539141924,127.86538292853342
30.0,15.0,528.780356685791,180.0,30.0,3.0,True,False,-0.14959340034387025,3.0,LC5,2.882384064697031,106.55448577377786
30.0,20.0,533.780356685791,120.0,20.0,3.0,True,False,-0.22415022730875367,3.0,LC5,0.7696579847942027,233.76575651605924
30.0,20.0,533.780356685791,120.0,25.0,3.0,True,False,-0.3342396590459411,3.0,LC5,1.2120724809927532,187.0126052128474
30.0,20.0,533.780356685791,120.0,30.0,3.0,True,False,-0.41696901253027385,3.0,LC5,1.6544869771913042,155.84383767737282
30.0,20.0,533.780356685791,150.0,20.0,3.0,True,False,-0.04603124269018544,3.0,LC5,1.1798924763277236,189.77332234615614
30.0,20.0,533.780356685791,150.0,25.0,3.0,True,False,-0.18118397358875604,3.0,LC5,1.7248655954096548,151.8186578769249
30.0,20.0,533.780356685791,150.0,30.0,3.0,True,False,-0.2827935949864947,3.0,LC5,2.2698387144915855,126.51554823077075
30.0,20.0,533.780356685791,180.0,20.0,3.0,True,True,0.12635951216051655,3.0,LC5,1.57835763746015,160.44532828952646
30.0,20.0,533.780356685791,180.0,25.0,3.0,True,False,-0.03297535676364849,3.0,LC5,2.2229470468251873,128.35626263162118
30.0,20.0,533.780356685791,180.0,30.0,3.0,True,False,-0.1528177913603609,3.0,LC5,2.867536456190225,106.96355219301765
32.0,5.0,519.780356685791,120.0,20.0,3.0,True,False,-0.048499087256023365,3.0,LC5,0.9086709413465253,216.74005122027773
32.0,5.0,519.780356685791,120.0,25.0,3.0,True,False,-0.18344121875711095,3.0,LC5,1.3858386766831563,173.3920409762222
32.0,5.0,519.780356685791,120.0,30.0,3.0,True,False,-0.2848622578263168,3.0,LC5,1.863006412019788,144.49336748018516
32.0,5.0,519.780356685791,150.0,20.0,3.0,True,True,0.16959438147225914,3.0,LC5,1.35075316667112,175.97995546930082
32.0,5.0,519.780356685791,150.0,25.0,3.0,True,True,0.004000548671048376,3.0,LC5,1.9384414583389007,140.78396437544063
32.0,5.0,519.780356685791,150.0,30.0,3.0,True,False,-0.12051844963319003,3.0,LC5,2.526129750006681,117.3199703128672
32.0,5.0,519.780356685791,180.0,20.0,3.0,True,True,0.3805492327129165,3.0,LC5,1.7800161955216423,148.80684445526322
32.0,5.0,519.780356685791,180.0,25.0,3.0,True,True,0.1854059368964971,3.0,LC5,2.4750202444020526,119.04547556421058
32.0,5.0,519.780356685791,180.0,30.0,3.0,True,True,0.03859809385732427,3.0,LC5,3.170024293282464,99.20456297017547
32.0,10.0,524.780356685791,120.0,20.0,3.0,True,False,-0.05223914195031887,3.0,LC5,0.9011048098888981,217.60264633399024
32.0,10.0,524.780356685791,120.0,25.0,3.0,True,False,-0.18665472513825276,3.0,LC5,1.3763810123611222,174.0821170671922
32.0,10.0,524.780356685791,120.0,30.0,3.0,True,False,-0.2876791748376589,3.0,LC5,1.851657214833347,145.06843088932683
32.0,10.0,524.780356685791,150.0,20.0,3.0,True,True,0.16507262887963847,3.0,LC5,1.3415698522070931,176.6701246175399
32.0,10.0,524.780356685791,150.0,25.0,3.0,True,True,0.00011324523494260497,3.0,LC5,1.9269623152588666,141.3360996940319
32.0,10.0,524.780356685791,150.0,30.0,3.0,True,False,-0.12392742668522616,3.0,LC5,2.51235477831064,117.78008307835992
32.0,10.0,524.780356685791,180.0,20.0,3.0,True,True,0.37529823182694155,3.0,LC5,1.7693113794628559,149.3820596188578
32.0,10.0,524.780356685791,180.0,25.0,3.0,True,True,0.18088928751418054,3.0,LC5,2.46163922432857,119.50564769508622
32.0,10.0,524.780356685791,180.0,30.0,3.0,True,True,0.03463561471103915,3.0,LC5,3.153967069194284,99.58803974590519
