journal_diameter_mm,ligament_mm,station_above_U_mm,support_span_mm,bearing_width_mm,max_Kt_checked,full_Kt_coverage,ROBUST_WITHIN_SCREEN,worst_MS_ultimate_strength,worst_strength_Kt,worst_strength_case,worst_MS_ultimate_bearing,ultimate_bearing_pressure_MPa
26.0,20.0,531.780356685791,120.0,30.0,3.0,True,False,-0.6195738843786835,3.0,LC5,1.3041833609713378,179.53668297288235
26.0,20.0,531.780356685791,150.0,20.0,3.0,True,False,-0.37724350602551837,3.0,LC5,0.8921764596143871,218.62941772059037
26.0,20.0,531.780356685791,150.0,25.0,3.0,True,False,-0.46556855004319075,3.0,LC5,1.3652205745179837,174.9035341764723
26.0,20.0,531.780356685791,150.0,30.0,3.0,True,False,-0.5319514876105903,3.0,LC5,1.8382646894215808,145.75294514706025
26.0,20.0,531.780356685791,180.0,20.0,3.0,True,False,-0.2645524314634654,3.0,LC5,1.2380002144224709,184.84602232125147
26.0,20.0,531.780356685791,180.0,25.0,3.0,True,False,-0.3687233603263361,3.0,LC5,1.7975002680280885,147.87681785700119
26.0,20.0,531.780356685791,180.0,30.0,3.0,True,False,-0.4470454484269688,3.0,LC5,2.3570003216337065,123.23068154750098
28.0,5.0,517.780356685791,120.0,20.0,3.0,True,False,-0.3608842589740181,3.0,LC5,0.6727499292781758,247.3085966702835
28.0,5.0,517.780356685791,120.0,25.0,3.0,True,False,-0.4516052240520686,3.0,LC5,1.0909374115977197,197.84687733622678
28.0,5.0,517.780356685791,120.0,30.0,3.0,True,False,-0.5197723947378712,3.0,LC5,1.5091248939172637,164.872397780189
28.0,5.0,517.780356685791,150.0,20.0,3.0,True,False,-0.21422218453807385,3.0,LC5,1.060140776357008,200.80445100534857
28.0,5.0,517.780356685791,150.0,25.0,3.0,True,False,-0.32559726850363324,3.0,LC5,1.5751759704462605,160.64356080427885
28.0,5.0,517.780356685791,150.0,30.0,3.0,True,False,-0.40931952018998763,3.0,LC5,2.090211164535513,133.8696340035657
28.0,5.0,517.780356685791,180.0,20.0,3.0,True,False,-0.07230010928581632,3.0,LC5,1.4362810749242563,169.80201580516035
28.0,5.0,517.780356685791,180.0,25.0,3.0,True,False,-0.20360333750837245,3.0,LC5,2.045351343655321,135.84161264412828
28.0,5.0,517.780356685791,180.0,30.0,3.0,True,False,-0.3023466281190835,3.0,LC5,2.6544216123863844,113.20134387010691
28.0,10.0,522.780356685791,120.0,20.0,3.0,True,False,-0.3634029999991807,3.0,LC5,0.6661085753497082,248.29440512499073
28.0,10.0,522.780356685791,120.0,25.0,3.0,True,False,-0.4537687199663264,3.0,LC5,1.082635719187135,198.6355240999926
28.0,10.0,522.780356685791,120.0,30.0,3.0,True,False,-0.5216684643864994,3.0,LC5,1.4991628630245621,165.5296034166605
28.0,10.0,522.780356685791,150.0,20.0,3.0,True,False,-0.21726868126355225,3.0,LC5,1.0520802690717068,201.59320462509942
28.0,10.0,522.780356685791,150.0,25.0,3.0,True,False,-0.328215357603568,3.0,LC5,1.5651003363396332,161.27456370007954
28.0,10.0,522.780356685791,150.0,30.0,3.0,True,False,-0.4116148300094796,3.0,LC5,2.07812040360756,134.39546975006627
28.0,10.0,522.780356685791,180.0,20.0,3.0,True,False,-0.07583941628923507,3.0,LC5,1.4268855108220406,170.4593956927029
