ligament_mm,support_span_mm,bearing_width_mm,Kt_bending,minimum_passing_diameter_mm,station_above_U_mm,ultimate_vm_MPa,MS_ultimate_strength,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,status
10.0,120.0,30.0,1.5,30.0,523.780356685791,1593.7463051096067,0.16831643407132146,154.6169776193193,1.675549890831729,PASS
10.0,120.0,30.0,2.0,32.0,524.780356685791,1748.1772627568887,0.06510937973395903,145.06843088932683,1.851657214833347,PASS
10.0,120.0,30.0,2.5,34.0,525.780356685791,1820.676994173487,0.02269650572767956,136.64324338938363,2.027485496748993,PASS
10.0,120.0,30.0,3.0,36.0,526.780356685791,1840.2348804513001,0.011827359528889136,129.15418857937365,2.2030353962222837,PASS
10.0,150.0,20.0,1.0,22.0,519.780356685791,1651.109331199502,0.12772665311466058,255.97084431898298,0.6161428020863953,PASS
10.0,150.0,20.0,1.5,26.0,521.780356685791,1495.9818620913557,0.24466749710251,216.93048641850365,0.9069953901823513,PASS
10.0,150.0,20.0,2.0,28.0,522.780356685791,1593.1052877434197,0.1687865292553643,201.59320462509942,1.0520802690717068,PASS
10.0,150.0,20.0,2.5,30.0,523.780356685791,1617.1783404538817,0.15138816382947962,188.3008947717918,1.1969382465838039,PASS
10.0,150.0,20.0,3.0,32.0,524.780356685791,1598.1836272220587,0.16507262887963847,176.6701246175399,1.3415698522070931,PASS
10.0,150.0,25.0,1.0,24.0,520.780356685791,1482.832883845447,0.2557045505837816,187.8591865120549,1.2021038484777828,PASS
10.0,150.0,25.0,1.5,26.0,521.780356685791,1741.133761884261,0.06941812327212427,173.5443891348029,1.3837442377279392,PASS
10.0,150.0,25.0,2.0,28.0,522.780356685791,1855.020022517465,0.0037627504812927093,161.27456370007954,1.5651003363396332,PASS
10.0,150.0,25.0,2.5,32.0,524.780356685791,1554.2493715508986,0.19800595328020898,141.3360996940319,1.9269623152588666,PASS
10.0,150.0,25.0,3.0,32.0,524.780356685791,1861.7891612490207,0.00011324523494260497,141.3360996940319,1.9269623152588666,PASS
10.0,150.0,30.0,1.0,24.0,520.780356685791,1690.462870919168,0.10147346743413599,156.5493220933791,1.642524618173339,PASS
10.0,150.0,30.0,1.5,28.0,522.780356685791,1593.1052877434197,0.1687865292553643,134.39546975006627,2.07812040360756,PASS
10.0,150.0,30.0,2.0,30.0,523.780356685791,1723.7348495794195,0.08021253991257193,125.53392984786119,2.295407369875706,PASS
10.0,150.0,30.0,2.5,32.0,524.780356685791,1773.9206499067,0.049652361901268094,117.78008307835992,2.51235477831064,PASS
10.0,150.0,30.0,3.0,34.0,525.780356685791,1774.1914364274655,0.04949215838249499,110.93845418142833,2.7289634206869517,PASS
10.0,180.0,20.0,1.0,22.0,519.780356685791,1401.567901322047,0.32851216001996364,216.4463192076556,0.911261134421129,PASS
10.0,180.0,20.0,1.5,24.0,520.780356685791,1609.5332597629008,0.15685711289637472,198.56251458318246,1.0834014842051123,PASS
10.0,180.0,20.0,2.0,26.0,521.780356685791,1683.4165915227263,0.10608390660789246,183.43006547274277,1.2552760722400453,PASS
10.0,180.0,20.0,2.5,28.0,522.780356685791,1682.6039456879867,0.106618111036618,170.4593956927029,1.4268855108220406,PASS
10.0,180.0,20.0,3.0,30.0,523.780356685791,1640.6134557619362,0.13494131933426523,159.2181493750707,1.5982304103760274,PASS
10.0,180.0,25.0,1.0,22.0,519.780356685791,1629.3265896919295,0.1428034206156692,173.15705536612447,1.3890764180264115,PASS
