Do_mm,wall_mm,Di_mm,h_mm,A_mm2,I_mm4,J_mm4,mass_per_m_kg,limit_governing_case,limit_vm_MPa,MS_yield_limit,ultimate_governing_case,ultimate_vm_MPa,MS_ultimate,limit_shear_case,limit_tau_screen_MPa,MS_shear_limit,ultimate_shear_case,ultimate_tau_screen_MPa,MS_shear_ultimate,buckling_method,slenderness,Cc,Pcr_kN,MS_buckling,PASS
58.0,4.5,49.0,250.0,756.3384313517425,272518.19104642485,545036.3820928497,5.952383454738214,LC4+,533.4983831876839,1.8434950279246145,LC4+,800.2475747815258,1.3267799349574303,LC5,23.465051178585878,36.32531208625495,LC5,35.197576767878815,29.542619690005147,JOHNSON,26.340883639518772,51.647465077611216,998.1428658909456,25.59586639730737,True
58.0,4.75,48.5,250.0,794.6265918173683,283892.765967252,567785.531934504,6.253711277602688,LC4+,512.0039507536874,1.9628677625766833,LC4+,768.0059261305311,1.4244604587641327,LC5,22.334414909788183,38.21483333672737,LC5,33.50162236468227,31.088780344094204,JOHNSON,26.45296689761699,51.647465077611216,1047.3348639948733,26.906604422991563,True
58.0,5.0,48.0,250.0,832.5220532012953,294920.9373465589,589841.8746931178,6.551948558694194,LC4+,492.74483242006966,2.078672570850511,LC4+,739.1172486301044,1.5192214137216662,LC5,21.317777627337918,40.084974882066724,LC5,31.976666441006873,32.61908294019259,JOHNSON,26.565321418092747,51.647465077611216,1095.871729779525,28.199886218479215,True
58.0,5.25,47.5,250.0,870.0248155035235,305609.8105833549,611219.6211667098,6.8470952980127295,LC4+,475.4024888412339,2.1909803495088966,LC4+,713.103733261851,1.6111208133533577,LC5,20.39886642742333,41.935736722273035,LC5,30.59829964113499,34.13352747830033,JOHNSON,26.677933061811846,51.647465077611216,1143.7543220221546,29.475734666191173,True
58.0,5.5,47.0,250.0,907.1348787240529,315966.4174455717,631932.8348911434,7.139151495558297,LC4+,459.7162859484001,2.2998613413714746,LC4+,689.5744289226003,1.7002161360728127,LC5,19.564367346301466,43.76711885734629,LC5,29.346551019452196,35.6321139584174,JOHNSON,26.790787160723546,51.647465077611216,1190.9835606039726,30.734174276684588,True
58.0,5.75,46.5,250.0,943.8522428628836,325997.7160700632,651995.4321401264,7.428117151330894,LC4+,445.47090587411935,2.4053851328927687,LC4+,668.206358811179,1.786564323202081,LC5,18.80328211772681,45.5791212872865,LC5,28.20492317659021,37.11484238054382,JOHNSON,26.903868507933034,51.647465077611216,1237.5604283177258,31.97523123681657,True
58.0,6.0,46.0,250.0,980.1769079200158,335710.59096260543,671421.1819252109,7.713992265330524,LC4+,432.48690511575984,2.5076206517604467,LC4+,648.7303576736399,1.8702217770063503,LC5,18.10644574116842,47.371744012093664,LC5,27.15966861175263,38.581712744679585,JOHNSON,27.01716134791496,51.647465077611216,1283.4859726831924,33.19893345811864,True
58.0,6.25,45.5,250.0,1016.1088738954488,345111.8529978965,690223.705995793,7.996776837557182,LC4+,420.6135387112008,2.6066361645139375,LC4+,630.9203080668015,1.9512443587453085,LC5,17.46615983379957,49.144987031767755,LC5,26.199239750699352,40.03272505082468,JOHNSON,27.130649366891987,51.647465077611216,1328.7613077675476,34.40531062530103,True
58.0,6.5,45.00000000000001,250.0,1051.6481407891831,354208.23941955675,708416.4788391135,8.276470868010872,LC4+,409.723240346755,2.702499274183568,LC4+,614.5848605201326,2.0296873867412892,LC5,16.875910593710383,50.8988503463088,LC5,25.313865890565566,41.46787929897912,JOHNSON,27.244315683403904,51.647465077611216,1373.3876160073655,35.594394244800576,True
58.0,6.75,44.50000000000001,250.0,1086.794708601219,363006.41384012904,726012.8276802581,8.553074356691594,LC4+,399.7073290818674,2.79527691795036,LC4+,599.5609936228012,2.105605634464324,LC5,16.33014943810529,52.633333955716815,LC5,24.495224157157935,42.88717548914291,JOHNSON,27.358142839093585,51.647465077611216,1417.3661500287635,36.766217693279074,True
