journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,support_span_mm,bearing_width_mm,root_clearance_mm,Kt_bending,limit_vm_case,limit_vm_MPa,MS_limit_yield,ultimate_vm_case,ultimate_vm_MPa,MS_ultimate_strength,limit_bearing_case,limit_bearing_pressure_MPa,MS_limit_bearing,ultimate_bearing_case,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,MS_limit_transverse_shear,MS_ultimate_transverse_shear,PASS
22.0,10.0,21.0,519.780356685791,180.0,25.0,5.0,2.0,LC5,2149.0916055207363,-0.29412036410964304,LC5,3223.6374082811035,-0.42239161413849924,LC5,115.43803691074967,2.583614627039616,LC5,173.15705536612447,1.3890764180264115,2.932872231842057,2.2181973613227473,False
22.0,10.0,21.0,519.780356685791,180.0,25.0,5.0,2.5,LC5,2680.5285450504607,-0.434066836258428,LC5,4020.7928175756897,-0.5369072507638728,LC5,115.43803691074967,2.583614627039616,LC5,173.15705536612447,1.3890764180264115,2.932872231842057,2.2181973613227473,False
22.0,10.0,21.0,519.780356685791,180.0,25.0,5.0,3.0,LC5,3211.9654845801856,-0.5277035175867474,LC5,4817.948226870278,-0.6135284331999664,LC5,115.43803691074967,2.583614627039616,LC5,173.15705536612447,1.3890764180264115,2.932872231842057,2.2181973613227473,False
22.0,10.0,21.0,519.780356685791,180.0,30.0,5.0,1.0,LC5,1238.0568520412075,0.22530722034201722,LC5,1857.085278061811,0.002646470787447175,LC5,96.1983640922914,3.300337552447539,LC5,144.29754613843707,1.8668917016316935,2.932872231842057,2.2181973613227473,True
22.0,10.0,21.0,519.780356685791,180.0,30.0,5.0,1.5,LC5,1845.4133543608928,-0.1779619474329801,LC5,2768.1200315413394,-0.32734130789725735,LC5,96.1983640922914,3.300337552447539,LC5,144.29754613843707,1.8668917016316935,2.932872231842057,2.2181973613227473,False
22.0,10.0,21.0,519.780356685791,180.0,30.0,5.0,2.0,LC5,2452.7698566805784,-0.381515556435853,LC5,3679.1547850208667,-0.49390550036631864,LC5,96.1983640922914,3.300337552447539,LC5,144.29754613843707,1.8668917016316935,2.932872231842057,2.2181973613227473,False
22.0,10.0,21.0,519.780356685791,180.0,30.0,5.0,2.5,LC5,3060.1263590002636,-0.5042688366320924,LC5,4590.1895385003945,-0.5943522627154277,LC5,96.1983640922914,3.300337552447539,LC5,144.29754613843707,1.8668917016316935,2.932872231842057,2.2181973613227473,False
22.0,10.0,21.0,519.780356685791,180.0,30.0,5.0,3.0,LC5,3667.482861319949,-0.5863648018646711,LC5,5501.224291979924,-0.6615298884078302,LC5,96.1983640922914,3.300337552447539,LC5,144.29754613843707,1.8668917016316935,2.932872231842057,2.2181973613227473,False
22.0,15.0,26.0,524.780356685791,120.0,20.0,5.0,1.0,LC5,1355.5646466875778,0.11909085539144249,LC5,2033.3469700313665,-0.08426843650236604,LC5,211.0086267481117,0.9605143351979264,LC5,316.5129401221676,0.3070095567986175,1.689481568013123,1.200753539723328,False
22.0,15.0,26.0,524.780356685791,120.0,20.0,5.0,1.5,LC5,2021.675046330448,-0.24963212918242528,LC5,3032.5125694956723,-0.3859877057955069,LC5,211.0086267481117,0.9605143351979264,LC5,316.5129401221676,0.3070095567986175,1.689481568013123,1.200753539723328,False
22.0,15.0,26.0,524.780356685791,120.0,20.0,5.0,2.0,LC5,2687.7854459733185,-0.4355948305796953,LC5,4031.6781689599775,-0.5381575805490628,LC5,211.0086267481117,0.9605143351979264,LC5,316.5129401221676,0.3070095567986175,1.689481568013123,1.200753539723328,False
22.0,15.0,26.0,524.780356685791,120.0,20.0,5.0,2.5,LC5,3353.8958456161886,-0.5476901878205787,LC5,5030.843768424283,-0.6298831596229036,LC5,211.0086267481117,0.9605143351979264,LC5,316.5129401221676,0.3070095567986175,1.689481568013123,1.200753539723328,False
