span_mm,bearing_width_mm,journal_diameter_mm,limit_governing_case,limit_governing_side,limit_radial_reaction_kN,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_side,ultimate_radial_reaction_kN,ultimate_vm_MPa,MS_ultimate,ultimate_bearing_case,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,ultimate_tau_transverse_MPa,MS_ultimate_shear,root_lever_mm,PASS
150.0,20.0,36.0,LC5,LEFT,44.568073723997365,154.66913719344728,8.808032989171348,LC5,LEFT,66.85211058599603,232.00370579017087,7.025733872044409,LC5,92.85015359166117,3.455409297537819,87.57073132417527,11.276090252706448,15.0,True
150.0,20.0,38.0,LC5,LEFT,44.568073723997365,131.92229386904896,10.499193620039925,LC5,LEFT,66.85211058599603,197.8834408035734,8.409579661838869,LC5,87.96330340262637,3.702932036289919,78.5953378089551,12.677989448231566,15.0,True
150.0,20.0,40.0,LC5,LEFT,44.568073723997365,113.45995239792865,12.370356393941998,LC5,LEFT,66.85211058599603,170.1899285968929,9.940717910577899,LC5,83.56513823249504,3.9504547750420205,70.93229237258195,14.155666978649938,15.0,True
150.0,25.0,22.0,LC5,LEFT,44.568073723997365,769.4385831014222,0.9715673652409491,LC5,LEFT,66.85211058599603,1154.157874652133,0.6132974880591731,LC5,121.54929197453825,2.403437657841389,234.4869169341553,3.5845892610416046,17.5,True
150.0,25.0,24.0,LC5,LEFT,44.568073723997365,594.2982405344994,1.552590427721344,LC5,LEFT,66.85211058599603,891.4473608017488,1.0887380252327596,LC5,111.42018430999339,2.712841081281516,197.0341454793943,4.4560401123139775,17.5,True
150.0,25.0,26.0,LC5,LEFT,44.568073723997365,468.7173259805359,2.236492264984024,LC5,LEFT,66.85211058599603,703.0759889708038,1.6483623807515948,LC5,102.84940090153236,3.022244504721642,167.8870825386555,5.403269298479599,17.5,True
150.0,25.0,28.0,LC5,LEFT,44.568073723997365,376.31070361328693,3.0312432929331035,LC5,LEFT,66.85211058599603,564.4660554199303,2.298692600062158,LC5,95.50301512285148,3.331647928161768,144.75978035220805,6.4262768195384705,17.5,True
150.0,25.0,30.0,LC5,LEFT,44.568073723997365,306.7914596297724,3.9447269550158737,LC5,LEFT,66.85211058599603,460.18718944465854,3.0461795606414235,LC5,89.13614744799472,3.6410513516018943,126.10185310681236,7.52506267549059,17.5,True
150.0,25.0,32.0,LC5,LEFT,44.568073723997365,253.47797406887298,4.984740905289913,LC5,LEFT,66.85211058599603,380.2169611033095,3.8972039400790237,LC5,83.56513823249504,3.9504547750420205,110.83170683215931,8.69962686633596,17.5,True
150.0,25.0,34.0,LC5,LEFT,44.568073723997365,211.9011576067018,6.158998172230947,LC5,LEFT,66.85211058599603,317.8517364100527,4.858077168399922,LC5,78.6495418658777,4.259858198482147,98.1761832146463,9.94996939207458,17.5,True
