level,ligament_mm,contact_regime,x_from_root_mm,q_N_per_mm,projected_pressure_MPa
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,25.874999999999996,2177.633019160147,64.04802997529843
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,26.45,2130.6043248496458,62.66483308381311
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,27.025,2083.575630539145,61.281636192327795
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,27.599999999999998,2036.5469362286442,59.898439300842476
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,28.174999999999997,1989.5182419181435,58.515242409357164
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,28.749999999999996,1942.4895476076426,57.132045517871845
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,29.325,1895.4608532971415,55.74884862638652
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,29.9,1848.4321589866408,54.3656517349012
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,30.474999999999998,1801.40346467614,52.98245484341588
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,31.049999999999997,1754.3747703656393,51.59925795193057
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,31.624999999999996,1707.3460760551386,50.216061060445256
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,32.199999999999996,1660.3173817446377,48.83286416895993
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,32.775,1613.288687434137,47.44966727747462
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,33.349999999999994,1566.2599931236364,46.066470385989305
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,33.925,1519.2312988131355,44.683273494503986
ultimate,5.0,PARTIAL_ROOT_TRIANGULAR,34.5,1472.2026045026344,43.30007660301866
