station_label,extra_above_E2_boundary_mm,station_above_U_mm,level,case,Mx_external_kNm,brace_effective_arm_mm,brace_force_abs_kN
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC0,1.3414978723404254,250.0,5.365991489361702
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC0,1.3414978723404254,300.0,4.4716595744680845
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC1,4.5036,150.0,30.023999999999997
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC1,4.5036,200.0,22.517999999999997
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC1,4.5036,250.0,18.0144
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC1,4.5036,300.0,15.011999999999999
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC2A,4.5036,150.0,30.023999999999997
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC2A,4.5036,200.0,22.517999999999997
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC2A,4.5036,250.0,18.0144
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC2A,4.5036,300.0,15.011999999999999
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC2B,4.5036,150.0,30.023999999999997
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC2B,4.5036,200.0,22.517999999999997
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC2B,4.5036,250.0,18.0144
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC2B,4.5036,300.0,15.011999999999999
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC3,4.5036,150.0,30.023999999999997
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC3,4.5036,200.0,22.517999999999997
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC3,4.5036,250.0,18.0144
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC3,4.5036,300.0,15.011999999999999
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC4+,16.680588262139246,150.0,111.20392174759498
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC4+,16.680588262139246,200.0,83.40294131069622
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC4+,16.680588262139246,250.0,66.72235304855698
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC4+,16.680588262139246,300.0,55.60196087379749
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC4-,-12.687396262139245,150.0,84.58264174759498
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC4-,-12.687396262139245,200.0,63.436981310696225
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC4-,-12.687396262139245,250.0,50.74958504855698
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC4-,-12.687396262139245,300.0,42.29132087379749
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC5,1.9965960000000005,150.0,13.310640000000003
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC5,1.9965960000000005,200.0,9.982980000000001
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC5,1.9965960000000005,250.0,7.986384000000002
E2_BOUNDARY_PLUS_25MM,25.0,523.780356685791,ultimate,LC5,1.9965960000000005,300.0,6.6553200000000015
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC0,0.894331914893617,150.0,5.962212765957447
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC0,0.894331914893617,200.0,4.4716595744680845
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC0,0.894331914893617,250.0,3.577327659574468
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC0,0.894331914893617,300.0,2.9811063829787234
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC1,3.0023999999999997,150.0,20.016
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC1,3.0023999999999997,200.0,15.011999999999999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC1,3.0023999999999997,250.0,12.009599999999999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC1,3.0023999999999997,300.0,10.008
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC2A,3.0023999999999997,150.0,20.016
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC2A,3.0023999999999997,200.0,15.011999999999999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC2A,3.0023999999999997,250.0,12.009599999999999
E2_BOUNDARY_PLUS_50MM,50.0,548.780356685791,limit,LC2A,3.0023999999999997,300.0,10.008
