upper_OD_mm,taper_start_A_mm,transition_length_mm,maximum_geometric_half_angle_deg,Kt_peak,minimum_profile_MS_limit,minimum_profile_MS_ultimate,governing_ultimate_station_A_mm,governing_ultimate_station_U_mm,governing_ultimate_OD_mm,governing_ultimate_local_Kt,governing_ultimate_case,governing_ultimate_vm_MPa,PROFILE_PASS,added_annular_mass_kg_vs_74mm
112.0,275.0,698.780356685791,2.335533868027305,2.25,0.10724975306424,-0.16057407719980732,400.0,-75.0,77.21287248008863,1.7344196991093879,LC4+,681.418079265289,False,5.163769110808648
112.0,300.0,673.780356685791,2.4220903413175088,1.5,0.3791589853721018,0.045565195007079895,370.0,-105.0,75.14522857733455,1.1861959903469934,LC4+,547.0725333355485,True,4.979026881755528
112.0,300.0,673.780356685791,2.4220903413175088,1.75,0.2709065545352829,-0.036502916906320015,390.0,-85.0,75.8528822420557,1.347197469159368,LC4+,593.6707126952298,False,4.979026881755528
112.0,300.0,673.780356685791,2.4220903413175088,2.0,0.16922076748880355,-0.11359273823247751,400.0,-75.0,76.26266282209735,1.505555659540986,LC4+,645.3015726195823,False,4.979026881755528
112.0,300.0,673.780356685791,2.4220903413175088,2.25,0.07716060463856045,-0.18338520098971978,410.0,-65.0,76.7077582110961,1.6830239598945549,LC4+,700.4526500049373,False,4.979026881755528
112.0,325.0,648.780356685791,2.5153051382915437,1.5,0.3386441092384034,0.014850139806980245,390.0,-85.0,75.0678607808786,1.1803007135960135,LC4+,563.6300154708475,True,4.794284701519275
112.0,325.0,648.780356685791,2.5153051382915437,1.75,0.2350702838024632,-0.06367103732934543,410.0,-65.0,75.78589009548521,1.3415503511751619,LC4+,610.896407998004,False,4.794284701519275
112.0,325.0,648.780356685791,2.5153051382915437,2.0,0.13727258815049836,-0.13781322674342633,420.0,-55.0,76.20570073399487,1.499949063298722,LC4+,663.4293377518347,False,4.794284701519275
112.0,325.0,648.780356685791,2.5153051382915437,2.25,0.04846555313381029,-0.20513943486740993,430.0,-45.0,76.6638155891697,1.6782463017418785,LC4+,719.6230698708586,False,4.794284701519275
112.0,350.0,623.780356685791,2.6159767186241254,1.5,0.3003372421746555,-0.014190984063747192,410.0,-65.0,74.98710135151005,1.1738712583959268,LC4+,580.2340927636518,False,4.609542469410974
112.0,350.0,623.780356685791,2.6159767186241254,1.75,0.20100642794173296,-0.08949545820719529,430.0,-45.0,75.71476677644185,1.335406417718233,LC4+,628.2231155856934,False,4.609542469410974
112.0,350.0,623.780356685791,2.6159767186241254,2.0,0.10688631536537585,-0.16084960584626218,440.0,-35.0,76.14488853170252,1.493857552272134,LC4+,681.6418177064049,False,4.609542469410974
112.0,350.0,623.780356685791,2.6159767186241254,2.25,0.021153140582482743,-0.22584546532381677,450.0,-25.0,76.61669797774175,1.6730631638429423,LC4+,738.8705670234932,False,4.609542469410974
