,ID_mm,wall_mm,OD_mm,A_mm2,I_mm4,J_mm4,mass_per_m_kg,physical_pressure_MPa,virtual_pressure_MPa,limit_governing_case,limit_governing_surface,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_surface,ultimate_vm_MPa,MS_ultimate,limit_tau_screen_MPa,MS_limit_shear,ultimate_tau_screen_MPa,MS_ultimate_shear,virtual_vm_MPa,virtual_governing_surface,MS_virtual_vs_yield,PASS
21,62.0,7.25,76.5,1577.2758616429255,955853.8170909508,1911707.6341819016,12.413161031129825,9.292136857325454,10.514733499585716,LC4+,outer,278.9334194753297,4.438573846237063,LC4+,outer,416.9800600468607,3.4654413445831107,11.252007611093337,76.83858566689669,16.878011416640007,62.69388991947336,55.918158761860965,inner,26.12893331235132,True
22,62.0,7.5,77.0,1637.55517068368,1000239.167693225,2000478.33538645,12.887559193280564,9.292136857325454,10.514733499585716,LC4+,outer,268.31171925490264,4.653871564807846,LC4+,outer,401.09797243448185,3.6422573235623927,10.837815004785703,79.81337040481993,16.25672250717855,65.12810182103921,54.49646092369798,inner,26.836670020168725,True
23,62.0,7.75,77.5,1698.227178806133,1045497.6417521938,2090995.283504388,13.365047897204269,9.292136857325454,10.514733499585716,LC4+,outer,258.3771740197432,4.871261676869654,LC4+,outer,386.24329781774594,3.8207956242094063,10.45061592553044,82.80753484787621,15.675923888295657,67.5781717805957,53.16819541212309,inner,27.532094953407103,True
24,62.0,8.0,78.0,1759.2918860102843,1091640.615269381,2183281.230538762,13.845627142900938,9.292136857325454,10.514733499585716,LC4+,outer,249.0655592797066,5.09076583846895,LC4+,outer,372.3200121239586,4.001074181798408,10.087876912936691,85.82107899606554,15.13181536940504,70.04409979814284,51.92457357403295,inner,28.21545417868659,True
25,64.0,2.0,68.0,414.6902302738532,226006.17549924983,452012.3509984997,3.263612112255225,9.292136857325454,10.514733499585716,LC4+,outer,1049.967398846957,0.4448067641585105,LC4+,outer,1568.752794152215,0.1869301568359989,42.79705357003441,19.464968620501185,64.1955803550516,15.746109238133688,172.99141192546014,inner,7.769221449291695,True
26,64.0,2.25,68.5,468.2936549257295,257217.6070563148,514435.2141126296,3.6854710642654913,9.292136857325454,10.514733499585716,LC4+,outer,929.3624971469604,0.6323017172061722,LC4+,outer,1388.552442962348,0.3409648367530113,37.898271337489554,22.110298371162585,56.847407006234334,17.91073415385837,155.1139713166505,inner,8.779905621158962,True
27,64.0,2.5,69.0,522.2897786593036,289120.0355990906,578240.0711981812,4.11042055804872,9.292136857325454,10.514733499585716,LC4+,outer,832.8658922951383,0.821421688694185,LC4+,outer,1244.3727772061884,0.4963361736187135,33.980216969892,24.775007826956973,50.97032545483798,20.09121712757367,140.8192788572355,inner,9.772672693047628,True
28,64.0,2.75,69.5,576.6786014745775,321723.58540077764,643447.1708015553,4.538460593604925,9.292136857325454,10.514733499585716,LC4+,outer,753.9036115399309,1.0121935706095917,LC4+,outer,1126.3915078396556,0.6530664400792516,30.77540930878877,27.459096987884475,46.16311396318315,22.287558159279676,129.1300958393392,inner,10.747842283702925,True
29,64.0,3.0,70.0,631.4601233715491,355038.4543656534,710076.9087313068,4.969591170934091,9.292136857325454,10.514733499585716,LC4+,outer,688.0929782378072,1.2046439187404698,LC4+,outer,1028.0603997205417,0.811177631689878,28.10552771763454,30.162565853944983,42.15829157645181,24.49975724897629,119.3949324436285,inner,11.705731884527353,True
30,64.0,3.25,70.5,686.6343443502199,389074.9140290737,778149.8280581475,5.40381229003623,9.292136857325454,10.514733499585716,LC4+,outer,632.3998062342615,1.3987989639548588,LC4+,outer,944.8460209801664,0.9706914763406578,25.847119571035943,32.88541442513855,38.77067935655391,26.727814396663582,111.162759655179,inner,12.646656530529231,True
