support_span_mm,bearing_width_mm,journal_diameter_mm,root_to_root_head_width_mm,working_lower_ligament_mm,shaft_hole_bottom_above_U_mm,shaft_center_above_U_mm,Kt_bending,minimum_required_solid_neck_OD_mm,head_width_total_reserve_mm,head_width_reserve_each_side_mm,global_neck_geometry_compatible,limit_case,limit_vm_MPa_at_min_OD,MS_limit_at_min_OD,ultimate_case,ultimate_vm_MPa_at_min_OD,MS_ultimate_at_min_OD,B3_worst_MS_ultimate_journal,B3_worst_bearing_pressure_MPa,B3_worst_MS_ultimate_bearing
180.0,20.0,30.0,150.0,10.0,508.780356685791,523.780356685791,2.0,84.0,66.0,33.0,True,LC4+,379.9208157361776,0.3239600968568417,LC4+,569.8812236042664,0.0037179263116149386,0.1263595121605165,160.44532828952646,1.57835763746015
180.0,20.0,30.0,150.0,10.0,508.780356685791,523.780356685791,2.5,90.5,59.5,29.75,True,LC4+,379.47148121482763,0.3255278061732392,LC4+,569.2072218222415,0.004906434898731105,0.1263595121605165,160.44532828952646,1.57835763746015
180.0,20.0,30.0,150.0,10.0,508.780356685791,523.780356685791,3.0,96.0,54.0,27.0,True,LC4+,381.2970082881219,0.3191816066385573,LC4+,571.9455124321829,9.52670606424455e-05,0.1263595121605165,160.44532828952646,1.57835763746015
180.0,25.0,32.0,145.0,10.0,508.780356685791,524.780356685791,1.0,74.0,71.0,35.5,True,LC4+,278.9623281709555,0.8031108476114677,LC4+,418.44349225643333,0.36697071548543314,0.1719580210340139,120.42603797697502,2.435182660988952
180.0,25.0,32.0,145.0,10.0,508.780356685791,524.780356685791,1.5,76.5,68.5,34.25,True,LC4+,377.6573308377312,0.3318952365739327,LC4+,566.4859962565969,0.00973369823762682,0.1719580210340139,120.42603797697502,2.435182660988952
180.0,25.0,32.0,145.0,10.0,508.780356685791,524.780356685791,2.0,84.0,61.0,30.5,True,LC4+,379.9208157361776,0.3239600968568417,LC4+,569.8812236042664,0.0037179263116149386,0.1719580210340139,120.42603797697502,2.435182660988952
180.0,25.0,32.0,145.0,10.0,508.780356685791,524.780356685791,2.5,90.5,54.5,27.25,True,LC4+,379.47148121482763,0.3255278061732392,LC4+,569.2072218222415,0.004906434898731105,0.1719580210340139,120.42603797697502,2.435182660988952
180.0,25.0,32.0,145.0,10.0,508.780356685791,524.780356685791,3.0,96.0,49.0,24.5,True,LC4+,381.2970082881219,0.3191816066385573,LC4+,571.9455124321829,9.52670606424455e-05,0.1719580210340139,120.42603797697502,2.435182660988952
180.0,30.0,32.0,140.0,10.0,508.780356685791,524.780356685791,1.0,74.0,66.0,33.0,True,LC4+,278.9623281709555,0.8031108476114677,LC4+,418.44349225643333,0.36697071548543314,0.0268002870791472,100.35503164747918,3.1222191931867425
180.0,30.0,32.0,140.0,10.0,508.780356685791,524.780356685791,1.5,76.5,63.5,31.75,True,LC4+,377.6573308377312,0.3318952365739327,LC4+,566.4859962565969,0.00973369823762682,0.0268002870791472,100.35503164747918,3.1222191931867425
180.0,30.0,32.0,140.0,10.0,508.780356685791,524.780356685791,2.0,84.0,56.0,28.0,True,LC4+,379.9208157361776,0.3239600968568417,LC4+,569.8812236042664,0.0037179263116149386,0.0268002870791472,100.35503164747918,3.1222191931867425
180.0,30.0,32.0,140.0,10.0,508.780356685791,524.780356685791,2.5,90.5,49.5,24.75,True,LC4+,379.47148121482763,0.3255278061732392,LC4+,569.2072218222415,0.004906434898731105,0.0268002870791472,100.35503164747918,3.1222191931867425
180.0,30.0,32.0,140.0,10.0,508.780356685791,524.780356685791,3.0,96.0,44.0,22.0,True,LC4+,381.2970082881219,0.3191816066385573,LC4+,571.9455124321829,9.52670606424455e-05,0.0268002870791472,100.35503164747918,3.1222191931867425
