journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,level,case,support_span_mm,Fx_thrust_kN,My_kNm,Mz_kNm,RLy_kN,RRy_kN,RLz_kN,RRz_kN,RL_kN,RR_kN,Rmax_kN
22.0,5.0,16.0,514.780356685791,limit,LC4-,120.0,0.0,-0.0,-0.0,4.17,4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,5.0,16.0,514.780356685791,limit,LC4-,150.0,0.0,-0.0,-0.0,4.17,4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,5.0,16.0,514.780356685791,limit,LC4-,180.0,0.0,-0.0,-0.0,4.17,4.17,-5.5461,-5.5461,6.938885012017421,6.938885012017421,6.938885012017421
22.0,5.0,16.0,514.780356685791,limit,LC5,120.0,8.87376,10.335981337944107,1.0648512,8.87376,-8.87376,-91.6792778162009,80.5870778162009,92.10772821776546,81.07416806537098,92.10772821776546
22.0,5.0,16.0,514.780356685791,limit,LC5,150.0,8.87376,10.335981337944107,1.0648512,7.099008000000001,-7.099008000000001,-74.45264225296071,63.360442252960716,74.79031924675422,63.75689419250936,74.79031924675422
22.0,5.0,16.0,514.780356685791,limit,LC5,180.0,8.87376,10.335981337944107,1.0648512,5.915840000000001,-5.915840000000001,-62.96821854413393,51.87601854413393,63.2455034727957,52.21224437712793,63.2455034727957
22.0,5.0,16.0,514.780356685791,ultimate,LC0,120.0,0.0,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106
22.0,5.0,16.0,514.780356685791,ultimate,LC0,150.0,0.0,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106
22.0,5.0,16.0,514.780356685791,ultimate,LC0,180.0,0.0,-0.0,-0.0,-0.0,0.0,-5.589574468085106,-5.589574468085106,5.589574468085106,5.589574468085106,5.589574468085106
22.0,5.0,16.0,514.780356685791,ultimate,LC1,120.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,5.0,16.0,514.780356685791,ultimate,LC1,150.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,5.0,16.0,514.780356685791,ultimate,LC1,180.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,5.0,16.0,514.780356685791,ultimate,LC2A,120.0,9.3825,10.928551696604435,1.1259,9.3825,-9.3825,-109.8362641383703,72.3062641383703,110.23627454755467,72.9124621714133,110.23627454755467
22.0,5.0,16.0,514.780356685791,ultimate,LC2A,150.0,9.3825,10.928551696604435,1.1259,7.505999999999999,-7.505999999999999,-91.62201131069624,54.092011310696236,91.92895622499664,54.61030785150812,91.92895622499664
22.0,5.0,16.0,514.780356685791,ultimate,LC2A,180.0,9.3825,10.928551696604435,1.1259,6.255,-6.255,-79.47917609224686,41.949176092246866,79.72492996110053,42.41295085016293,79.72492996110053
22.0,5.0,16.0,514.780356685791,ultimate,LC2B,120.0,9.3825,-10.928551696604435,-1.1259,-9.3825,9.3825,72.3062641383703,-109.8362641383703,72.9124621714133,110.23627454755467,110.23627454755467
22.0,5.0,16.0,514.780356685791,ultimate,LC2B,150.0,9.3825,-10.928551696604435,-1.1259,-7.505999999999999,7.505999999999999,54.092011310696236,-91.62201131069624,54.61030785150812,91.92895622499664,91.92895622499664
22.0,5.0,16.0,514.780356685791,ultimate,LC2B,180.0,9.3825,-10.928551696604435,-1.1259,-6.255,6.255,41.949176092246866,-79.47917609224686,42.41295085016293,79.72492996110053,79.72492996110053
22.0,5.0,16.0,514.780356685791,ultimate,LC3,120.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,5.0,16.0,514.780356685791,ultimate,LC3,150.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,5.0,16.0,514.780356685791,ultimate,LC3,180.0,0.0,-0.0,-0.0,-0.0,0.0,-18.765,-18.765,18.765,18.765,18.765
22.0,5.0,16.0,514.780356685791,ultimate,LC4+,120.0,0.0,-0.0,-0.0,-6.255,-6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132
22.0,5.0,16.0,514.780356685791,ultimate,LC4+,150.0,0.0,-0.0,-0.0,-6.255,-6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132
22.0,5.0,16.0,514.780356685791,ultimate,LC4+,180.0,0.0,-0.0,-0.0,-6.255,-6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132
22.0,5.0,16.0,514.780356685791,ultimate,LC4-,120.0,0.0,-0.0,-0.0,6.255,6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132
22.0,5.0,16.0,514.780356685791,ultimate,LC4-,150.0,0.0,-0.0,-0.0,6.255,6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132
22.0,5.0,16.0,514.780356685791,ultimate,LC4-,180.0,0.0,-0.0,-0.0,6.255,6.255,-8.319150000000002,-8.319150000000002,10.408327518026132,10.408327518026132,10.408327518026132
22.0,5.0,16.0,514.780356685791,ultimate,LC5,120.0,13.31064,15.503972006916158,1.5972768,13.31064,-13.31064,-137.51891672430133,120.88061672430132,138.16159232664816,121.61125209805644,138.16159232664816
