level,ligament_mm,x_from_journal_root_mm,q_N_per_mm,projected_pressure_MPa
ultimate,10.0,35.699999999999996,2100.502944613248,58.347304017034666
ultimate,10.0,36.55,2031.0010089458979,56.416694692941604
ultimate,10.0,37.4,1961.4990732785473,54.486085368848535
ultimate,10.0,38.25,1891.997137611197,52.55547604475547
ultimate,10.0,39.1,1822.495201943847,50.62486672066242
ultimate,10.0,39.949999999999996,1752.9932662764973,48.69425739656937
ultimate,10.0,40.8,1683.491330609147,46.76364807247631
ultimate,10.0,41.65,1613.9893949417965,44.83303874838324
ultimate,10.0,42.5,1544.4874592744463,42.902429424290176
limit,15.0,0.0,3359.634538122311,93.32318161450864
limit,15.0,0.85,3313.1165214406174,92.0310144844616
limit,15.0,1.7,3266.598504758924,90.73884735441455
limit,15.0,2.55,3220.0804880772303,89.44668022436751
limit,15.0,3.4,3173.5624713955367,88.15451309432046
limit,15.0,4.25,3127.044454713843,86.86234596427342
limit,15.0,5.1,3080.5264380321496,85.57017883422638
limit,15.0,5.95,3034.008421350456,84.27801170417933
limit,15.0,6.8,2987.4904046687625,82.98584457413229
limit,15.0,7.6499999999999995,2940.972387987069,81.69367744408525
limit,15.0,8.5,2894.4543713053754,80.4015103140382
limit,15.0,9.35,2847.936354623682,79.10934318399116
limit,15.0,10.2,2801.4183379419883,77.81717605394412
limit,15.0,11.049999999999999,2754.9003212602947,76.52500892389708
limit,15.0,11.9,2708.382304578601,75.23284179385003
limit,15.0,12.75,2661.8642878969076,73.940674663803
limit,15.0,13.6,2615.346271215214,72.64850753375595
limit,15.0,14.45,2568.828254533521,71.35634040370891
limit,15.0,15.299999999999999,2522.3102378518274,70.06417327366188
limit,15.0,16.15,2475.792221170134,68.77200614361483
limit,15.0,17.0,2429.2742044884403,67.47983901356778
limit,15.0,17.849999999999998,2382.7561878067468,66.18767188352075
limit,15.0,18.7,2336.238171125053,64.8955047534737
limit,15.0,19.55,2289.720154443359,63.60333762342665
limit,15.0,20.4,2243.202137761666,62.31117049337961
limit,15.0,21.25,2196.6841210799726,61.01900336333257
limit,15.0,22.099999999999998,2150.166104398279,59.726836233285525
limit,15.0,22.95,2103.6480877165855,58.434669103238484
limit,15.0,23.8,2057.130071034892,57.14250197319144
limit,15.0,24.65,2010.6120543531983,55.850334843144395
limit,15.0,25.5,1964.0940376715048,54.558167713097355
limit,15.0,26.349999999999998,1917.5760209898115,53.26600058305032
limit,15.0,27.2,1871.0580043081177,51.973833453003266
limit,15.0,28.05,1824.5399876264241,50.681666322956225
limit,15.0,28.9,1778.0219709447308,49.38949919290919
limit,15.0,29.75,1731.503954263037,48.09733206286214
limit,15.0,30.599999999999998,1684.9859375813437,46.8051649328151
limit,15.0,31.45,1638.4679208996502,45.51299780276806
limit,15.0,32.3,1591.9499042179566,44.220830672721014
limit,15.0,33.15,1545.431887536263,42.92866354267397
limit,15.0,34.0,1498.9138708545695,41.63649641262693
limit,15.0,34.85,1452.3958541728757,40.34432928257988
limit,15.0,35.699999999999996,1405.8778374911826,39.05216215253285
limit,15.0,36.55,1359.359820809489,37.75999502248581
limit,15.0,37.4,1312.8418041277953,36.467827892438756
limit,15.0,38.25,1266.323787446102,35.17566076239172
limit,15.0,39.1,1219.805770764408,33.88349363234467
limit,15.0,39.949999999999996,1173.2877540827149,32.59132650229763
limit,15.0,40.8,1126.7697374010213,31.299159372250593
limit,15.0,41.65,1080.2517207193277,30.006992242203548
limit,15.0,42.5,1033.7337040376342,28.714825112156504
ultimate,15.0,0.0,5039.451807183466,139.98477242176295
ultimate,15.0,0.85,4969.674782160926,138.0465217266924
ultimate,15.0,1.7,4899.897757138386,136.10827103162183
ultimate,15.0,2.55,4830.120732115845,134.17002033655126
ultimate,15.0,3.4,4760.343707093305,132.2317696414807
ultimate,15.0,4.25,4690.566682070765,130.29351894641013
ultimate,15.0,5.1,4620.789657048224,128.35526825133957
ultimate,15.0,5.95,4551.012632025684,126.417017556269
ultimate,15.0,6.8,4481.235607003144,124.47876686119844
ultimate,15.0,7.6499999999999995,4411.458581980603,122.54051616612787
ultimate,15.0,8.5,4341.681556958063,120.60226547105731
ultimate,15.0,9.35,4271.904531935523,118.66401477598674
ultimate,15.0,10.2,4202.127506912982,116.72576408091618
ultimate,15.0,11.049999999999999,4132.350481890442,114.78751338584561
ultimate,15.0,11.9,4062.5734568679018,112.84926269077505
ultimate,15.0,12.75,3992.7964318453614,110.91101199570448
