OD_mm,ID_mm,wall_mm,A_m2,I_m4,J_m4,c_m,mass_per_m_kg,limit_governing_case,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_vm_MPa,MS_ultimate,limit_shear_governing_case,limit_tau_screen_MPa,MS_limit_shear,ultimate_shear_governing_case,ultimate_tau_screen_MPa,MS_ultimate_shear,PASS
50.0,44.0,3.0,0.00044296456415616136,1.228119254122957e-07,2.456238508245914e-07,0.025,3.4861311199089897,LC2A,629.9883077720176,1.4079811978811794,LC2A,944.9824616580263,0.9704069393341053,LC2A,116.44283888652785,6.521633504780472,LC2A,174.66425832979178,5.154815023467914,True
50.0,43.5,3.25,0.0004773257338047997,1.3103337214400818e-07,2.6206674428801636e-07,0.025,3.7565535250437736,LC2A,590.4608558778767,1.5691796245232497,LC2A,885.691283816815,1.1023126613325824,LC2A,108.06048725956678,7.1050935505856945,LC2A,162.0907308893502,5.632249699490468,True
50.0,43.0,3.5,0.0005112942043717394,1.3897615592579337e-07,2.7795231185158674e-07,0.025,4.023885388405589,LC2A,556.7147583649337,1.7249142890614495,LC2A,835.0721375474005,1.2297474868083582,LC2A,100.88135350537898,7.681885481581714,LC2A,151.32203025806848,6.104227979215623,True
50.0,42.5,3.75,0.0005448699758569799,1.4664664584588245e-07,2.932932916917649e-07,0.025,4.288126709994431,LC2A,527.5952724212124,1.8753100706120125,LC2A,791.3929086318185,1.3528136020565005,LC2A,94.66488091099355,8.252009297768524,LC2A,141.99732136649033,6.57074986264337,True
50.0,42.0,4.0,0.0005780530482605222,1.540511373614291e-07,3.081022747228582e-07,0.025,4.54927748981031,LC2A,502.23632483278965,2.0204904046019716,LC2A,753.3544872491844,1.4716120120276295,LC2A,89.2306537119589,8.815464999146142,LC2A,133.84598056793837,7.031815349773726,True
50.0,41.5,4.25,0.0006108434215823656,1.6119585229850892e-07,3.2239170459701784e-07,0.025,4.807337727853217,LC2A,479.97560707355177,2.160577282769151,LC2A,719.9634106103276,1.5862425403279103,LC2A,84.44070862359597,9.372252585714552,LC2A,126.66106293539396,7.487424440606677,True
50.0,41.0,4.5,0.0006432410958225103,1.680869388521197e-07,3.361738777042394e-07,0.025,5.062307424123156,LC2A,460.2979719488164,2.29569125316217,LC2A,690.4469579232244,1.6968038292190557,LC2A,80.18774252991669,9.92237205747376,LC2A,120.28161379487504,7.937577135142227,True
50.0,40.5,4.75,0.0006752460709809566,1.7473047158618152e-07,3.4946094317236304e-07,0.025,5.314186578620128,LC2A,442.7967049041845,2.425951420140444,LC2A,664.1950573562766,1.8033933396183293,LC2A,76.38704406164786,10.465823414423772,LC2A,114.5805660924718,8.382273433380382,True
50.0,40.0,5.0,0.0007068583470577037,1.8113245143353656e-07,3.622649028670731e-07,0.025,5.562975191344129,LC2A,427.14641386667824,2.5514754443741836,LC2A,640.7196208000173,1.906107351098541,LC2A,72.97084570222418,11.002606656564573,LC2A,109.45626855333627,8.82151333532113,True
50.0,39.5,5.25,0.0007380779240527524,1.872988056959492e-07,3.745976113918984e-07,0.025,5.808673262295161,LC2A,413.08366477421015,2.672379542844392,LC2A,619.6254971613153,2.00504096188805,LC2A,69.88428957914525,11.532721783896179,LC2A,104.8264343687179,9.255296840964482,True
