journal_diameter_mm,ligament_mm,centerline_offset_above_boundary_mm,station_above_U_mm,level,case,brace_effective_arm_mm,Mx_kNm,brace_force_abs_kN
22.0,15.0,26.0,524.780356685791,limit,LC2A,250.0,3.0023999999999997,12.009599999999999
22.0,15.0,26.0,524.780356685791,limit,LC2A,300.0,3.0023999999999997,10.008
22.0,15.0,26.0,524.780356685791,limit,LC2B,150.0,3.0023999999999997,20.016
22.0,15.0,26.0,524.780356685791,limit,LC2B,200.0,3.0023999999999997,15.011999999999999
22.0,15.0,26.0,524.780356685791,limit,LC2B,250.0,3.0023999999999997,12.009599999999999
22.0,15.0,26.0,524.780356685791,limit,LC2B,300.0,3.0023999999999997,10.008
22.0,15.0,26.0,524.780356685791,limit,LC3,150.0,3.0023999999999997,20.016
22.0,15.0,26.0,524.780356685791,limit,LC3,200.0,3.0023999999999997,15.011999999999999
22.0,15.0,26.0,524.780356685791,limit,LC3,250.0,3.0023999999999997,12.009599999999999
22.0,15.0,26.0,524.780356685791,limit,LC3,300.0,3.0023999999999997,10.008
22.0,15.0,26.0,524.780356685791,limit,LC4+,150.0,11.128732174759497,74.19154783172998
22.0,15.0,26.0,524.780356685791,limit,LC4+,200.0,11.128732174759497,55.64366087379748
22.0,15.0,26.0,524.780356685791,limit,LC4+,250.0,11.128732174759497,44.51492869903799
22.0,15.0,26.0,524.780356685791,limit,LC4+,300.0,11.128732174759497,37.09577391586499
22.0,15.0,26.0,524.780356685791,limit,LC4-,150.0,-8.466604174759498,56.44402783172999
22.0,15.0,26.0,524.780356685791,limit,LC4-,200.0,-8.466604174759498,42.33302087379749
