upper_OD_mm,taper_start_A_mm,Kt_peak_sensitivity,station_A_mm,station_U_mm,profile_OD_mm,local_Kt_sensitivity,limit_case,limit_vm_MPa,MS_limit,ultimate_case,ultimate_vm_MPa,MS_ultimate,station_PASS
90.0,300.0,1.5,280.0,-195.0,74.0,1.0,LC4+,306.46831379907775,0.641278975188833,LC4+,459.70247069861665,0.24428306667728616,True
90.0,300.0,1.5,290.0,-185.0,74.0,1.0,LC4+,311.1700350402296,0.6164795557354026,LC4+,466.7550525603445,0.22548218141901932,True
90.0,300.0,1.5,300.0,-175.0,74.0,1.0,LC4+,315.87347197159596,0.5924097609729977,LC4+,473.81020795739386,0.20723443774228612,True
90.0,300.0,1.5,310.0,-165.0,74.01046853848635,1.0292427156231843,LC4+,329.0759053507695,0.5285227262805547,LC4+,493.6138580261542,0.15880052940023504,True
90.0,300.0,1.5,320.0,-155.0,74.04145569299864,1.0576043351027828,LC4+,341.50079540663853,0.4729101857612308,LC4+,512.251193109958,0.11663966369174772,True
90.0,300.0,1.5,330.0,-145.0,74.0923337721168,1.0850848584387962,LC4+,353.082136247627,0.4245977022389804,LC4+,529.6232043714405,0.08001310229383263,True
90.0,300.0,1.5,340.0,-135.0,74.16247508442073,1.1116842856312237,LC4+,363.76834030747034,0.3827481511305959,LC4+,545.6525104612055,0.04828620602611111,True
90.0,300.0,1.5,350.0,-125.0,74.25125193849033,1.1374026166800657,LC4+,373.5223349688432,0.3466396863308241,LC4+,560.283502453265,0.020911730392619177,True
90.0,300.0,1.5,360.0,-115.0,74.35803664290549,1.1622398515853223,LC4+,382.321200712278,0.31564767808558103,LC4+,573.481801068417,-0.002583867640884696,False
90.0,300.0,1.5,370.0,-105.0,74.48220150624613,1.1861959903469934,LC4+,390.1554147423367,0.2892298325070979,LC4+,585.2331221135053,-0.02261171080972879,False
90.0,300.0,1.5,380.0,-95.0,74.62311883709215,1.2092710329650789,LC4+,397.02777799817346,0.266913873221017,LC4+,595.5416669972602,-0.039529840314881826,False
90.0,300.0,1.5,390.0,-85.0,74.78016094402345,1.2314649794395787,LC4+,402.952109851,0.24828729693460305,LC4+,604.4281647765001,-0.053650982310678885,False
90.0,300.0,1.5,400.0,-75.0,74.95270013561993,1.252777829770493,LC4+,407.9517943808597,0.23298881615018519,LC4+,611.9276915712895,-0.06524903533743409,False
90.0,300.0,1.5,410.0,-65.0,75.14010872046153,1.273209583957822,LC4+,412.0582562056622,0.22070118102171432,LC4+,618.0873843084936,-0.07456451220090088,False
90.0,300.0,1.5,420.0,-55.0,75.34175900712809,1.2927602420015651,LC4+,415.30943397535634,0.21114513384698852,LC4+,622.9641509630344,-0.08180912318028155,False
90.0,300.0,1.5,430.0,-45.0,75.55702330419956,1.311429803901723,LC4+,417.74830744221293,0.20407429794214038,LC4+,626.6224611633195,-0.0871696508642753,False
90.0,300.0,1.5,440.0,-35.0,75.78527392025585,1.3292182696582953,LC4+,419.42152091849806,0.19927084070095424,LC4+,629.1322813777471,-0.09081123806369007,False
90.0,300.0,1.5,450.0,-25.0,76.02588316387681,1.346125639271282,LC4+,420.37813310784003,0.19654178080420026,LC4+,630.5671996617601,-0.09288018738236925,False
90.0,300.0,1.5,460.0,-15.0,76.27822334364241,1.362151912740683,LC4+,420.6685115977329,0.19571583356587707,LC4+,631.0027673965996,-0.09350635281685693,False
90.0,300.0,1.5,470.0,-5.0,76.54166676813252,1.3772970900664987,LC4+,420.34338026033345,0.1966407076245007,LC4+,630.5150703905003,-0.0928051891832814,False
90.0,300.0,1.5,480.0,5.0,76.81558574592702,1.3915611712487286,LC4+,419.45301967973865,0.1991807816380753,LC4+,629.1795295196082,-0.09087951345662182,False
90.0,300.0,1.5,490.0,15.0,77.09935258560587,1.4049441562873732,LC4+,418.04661453757257,0.20321510211582416,LC4+,627.069921806359,-0.08782102265042913,False
90.0,300.0,1.5,500.0,25.0,77.39233959574894,1.4174460451824322,LC4+,416.1717375183667,0.20863565363518077,LC4+,624.2576062775502,-0.08371160519639065,False
90.0,300.0,1.5,510.0,35.0,77.69391908493613,1.4290668379339055,LC4+,413.873956517522,0.21534586092929175,LC4+,620.8109347762829,-0.07862447653869464,False
90.0,300.0,1.5,520.0,45.0,78.00346336174735,1.4398065345417934,LC4+,411.1965504749576,0.223259289065056,LC4+,616.7948257124364,-0.07262516455240287,False
90.0,300.0,1.5,530.0,55.0,78.3203447347625,1.4496651350060958,LC4+,408.1803187342384,0.23229851346041408,LC4+,612.2704781013578,-0.06577236620363591,False
90.0,300.0,1.5,540.0,65.0,78.6439355125615,1.4586426393268126,LC4+,404.86346917303933,0.24239413604643323,LC4+,607.295203759559,-0.05811869341476483,False
90.0,300.0,1.5,550.0,75.0,78.97360800372424,1.466739047503944,LC4+,401.2815712307754,0.25348392765021033,LC4+,601.922356846163,-0.04971132323933669,False
90.0,300.0,1.5,560.0,85.0,79.30873451683063,1.4739543595374895,LC4+,397.46756117626825,0.2655120798070121,LC4+,596.2013417644026,-0.040592565076725595,False
90.0,300.0,1.5,570.0,95.0,79.64868736046057,1.48028857542745,LC4+,393.45178835594334,0.2784285518228522,LC4+,590.177682533915,-0.03080035567571704,False
90.0,300.0,1.5,580.0,105.0,79.99283884319397,1.4857416951738245,LC4+,389.26209262264723,0.2921885010971539,LC4+,583.8931389339708,-0.020368691017134455,False
90.0,300.0,1.5,590.0,115.0,80.34056127361072,1.4903137187766136,LC4+,384.92390458135105,0.306751786556541,LC4+,577.3858568720267,-0.009328002769594002,False
90.0,300.0,1.5,600.0,125.0,80.69122696029072,1.4940046462358172,LC4+,380.46036164336067,0.32208253660733943,LC4+,570.6905424650408,0.0022945141675261294,True
90.0,300.0,1.5,610.0,135.0,81.04420821181391,1.4968144775514352,LC4+,375.89243411972,0.3381487743373861,LC4+,563.8386511795801,0.014474617522842737,True
90.0,300.0,1.5,620.0,145.0,81.39887733676015,1.4987432127234677,LC4+,371.2390566889258,0.35492209382883244,LC4+,556.8585850333887,0.027190772259896745,True
90.0,300.0,1.5,630.0,155.0,81.75460664370937,1.4997908517519147,LC4+,366.5172615377197,0.37237738241759266,LC4+,549.7758923065796,0.0404239400170483,True
90.0,300.0,1.5,640.0,165.0,82.11076844124148,1.4999573946367761,LC4+,361.74231029917377,0.39049258458044656,LC4+,542.6134654487606,0.05415740010605097,True
90.0,300.0,1.5,650.0,175.0,82.46673503793635,1.4992428413780519,LC4+,356.9278226075834,0.4092485038719229,LC4+,535.3917339113751,0.06837659935684548,True
90.0,300.0,1.5,660.0,185.0,82.82187874237391,1.4976471919757424,LC4+,352.0858996662557,0.4286286399904018,LC4+,528.1288494993836,0.08306902859444643,True
90.0,300.0,1.5,670.0,195.0,83.17557186313407,1.4951704464298472,LC4+,347.22724169514817,0.4486190586440628,LC4+,520.8408625427223,0.09822412398197988,True
90.0,300.0,1.5,680.0,205.0,83.5271867087967,1.4918126047403664,LC4+,342.36125850388316,0.4692082924280254,LC4+,513.5418877558247,0.1138331918738642,True
90.0,300.0,1.5,690.0,215.0,83.87609558794173,1.4875736669073,LC4+,337.4961727350184,0.4903872714281867,LC4+,506.2442591025274,0.12988935620533204,True
90.0,300.0,1.5,700.0,225.0,84.22167080914907,1.4824536329306484,LC4+,332.63911555475806,0.5121492827478302,LC4+,498.95867333213704,0.14638752780882558,True
90.0,300.0,1.5,710.0,235.0,84.56328468099862,1.4764525028104107,LC4+,327.7962147445777,0.5344899586224416,LC4+,491.6943221168665,0.1633243954036272,True
90.0,300.0,1.5,720.0,245.0,84.90030951207027,1.469570276546588,LC4+,322.97267527723335,0.5574072932585854,LC4+,484.45901291585005,0.18069843836171073,True
90.0,300.0,1.5,730.0,255.0,85.23211761094393,1.4618069541391794,LC4+,318.1728525528214,0.5809016890166472,LC4+,477.259278829232,0.19850996171971147,True
90.0,300.0,1.5,740.0,265.0,85.5580812861995,1.4531625355881856,LC4+,313.40031853208154,0.6049760330684217,LC4+,470.1004777981224,0.21676115429441611,True
